loss_gfn=7467596.138849, loss_c=1.726877, valid_accuracy=0.673, valid_f1=0.673
loss_gfn=2531384.036291, loss_c=1.031591, valid_accuracy=0.820, valid_f1=0.820
loss_gfn=1149609.742096, loss_c=0.689795, valid_accuracy=0.863, valid_f1=0.863
loss_gfn=275943.467031, loss_c=0.531007, valid_accuracy=0.868, valid_f1=0.868
loss_gfn=195370.238481, loss_c=0.448884, valid_accuracy=0.877, valid_f1=0.877
loss_gfn=181770.033220, loss_c=0.393886, valid_accuracy=0.889, valid_f1=0.889
loss_gfn=175189.454415, loss_c=0.353368, valid_accuracy=0.873, valid_f1=0.873
loss_gfn=241715.011124, loss_c=0.344733, valid_accuracy=0.839, valid_f1=0.839
loss_gfn=208086.421742, loss_c=0.340557, valid_accuracy=0.846, valid_f1=0.846
loss_gfn=250971.699685, loss_c=0.289665, valid_accuracy=0.860, valid_f1=0.860
loss_gfn=140866.323923, loss_c=0.259083, valid_accuracy=0.873, valid_f1=0.873
loss_gfn=137050.475009, loss_c=0.235848, valid_accuracy=0.860, valid_f1=0.860
loss_gfn=116992.464599, loss_c=0.221223, valid_accuracy=0.849, valid_f1=0.849
loss_gfn=125424.524249, loss_c=0.209462, valid_accuracy=0.835, valid_f1=0.835
loss_gfn=142103.428420, loss_c=0.204005, valid_accuracy=0.806, valid_f1=0.806
loss_gfn=150689.466802, loss_c=0.202783, valid_accuracy=0.827, valid_f1=0.827
loss_gfn=84678.650665, loss_c=0.188589, valid_accuracy=0.847, valid_f1=0.847
loss_gfn=67083.624985, loss_c=0.176933, valid_accuracy=0.865, valid_f1=0.865
loss_gfn=67130.716024, loss_c=0.164275, valid_accuracy=0.887, valid_f1=0.887
loss_gfn=111800.316281, loss_c=0.168298, valid_accuracy=0.870, valid_f1=0.870
loss_gfn=265451.858941, loss_c=0.185309, valid_accuracy=0.877, valid_f1=0.877
loss_gfn=122000.401136, loss_c=0.167697, valid_accuracy=0.868, valid_f1=0.868
loss_gfn=165850.643014, loss_c=0.146543, valid_accuracy=0.901, valid_f1=0.901
loss_gfn=80261.184476, loss_c=0.113921, valid_accuracy=0.902, valid_f1=0.902
loss_gfn=53659.365530, loss_c=0.095058, valid_accuracy=0.904, valid_f1=0.904
loss_gfn=38630.919546, loss_c=0.084364, valid_accuracy=0.908, valid_f1=0.908
loss_gfn=34404.455858, loss_c=0.075856, valid_accuracy=0.905, valid_f1=0.905
loss_gfn=30552.537212, loss_c=0.071390, valid_accuracy=0.905, valid_f1=0.905
loss_gfn=29587.284375, loss_c=0.066319, valid_accuracy=0.901, valid_f1=0.901
loss_gfn=25401.692060, loss_c=0.061255, valid_accuracy=0.901, valid_f1=0.901
test_accuracy=0.877, test_f1=0.877
loss_gfn=7467595.612482, loss_c=1.726877, valid_accuracy=0.673, valid_f1=0.673
loss_gfn=2531383.055437, loss_c=1.031591, valid_accuracy=0.820, valid_f1=0.820
loss_gfn=1149609.231136, loss_c=0.689795, valid_accuracy=0.863, valid_f1=0.863
loss_gfn=275943.452388, loss_c=0.531007, valid_accuracy=0.868, valid_f1=0.868
loss_gfn=195370.302424, loss_c=0.448884, valid_accuracy=0.877, valid_f1=0.877
loss_gfn=181769.915508, loss_c=0.393887, valid_accuracy=0.889, valid_f1=0.889
loss_gfn=175189.605792, loss_c=0.353368, valid_accuracy=0.873, valid_f1=0.873
loss_gfn=241714.982522, loss_c=0.344733, valid_accuracy=0.839, valid_f1=0.839
